Date,Effective Federal Funds Rate,Treasury Bill Secondary Market Rate,Treasury Constant Maturity Rate,Breakeven Inflation Rate,Forward Inflation Expectation Rate,Bank Prime Loan Rate
2011-04-17,0.12,4.99,4.48,2.4,2.28,8.25
2011-04-18,0.1,4.97,4.45,2.4,2.28,8.25
2011-04-19,0.11,4.95,4.45,2.39,2.29,8.25
2011-04-20,0.1,4.96,4.55,2.42,2.26,8.25
2011-04-21,0.1,4.96,4.5,2.4,2.28,8.25
2011-04-22,0.1,4.94,4.41,2.4,2.3,8.25
2011-04-23,0.1,4.92,4.44,2.41,2.29,8.25
2011-04-24,0.1,4.91,4.46,2.42,2.32,8.25
2011-04-25,0.1,4.9,4.47,2.44,2.34,8.25
2011-04-26,0.09,4.93,4.5,2.46,2.34,8.25
2011-04-27,0.09,4.92,4.47,2.45,2.33,8.25
2011-04-28,0.09,4.91,4.43,2.44,2.34,8.25
2011-04-29,0.09,4.92,4.49,2.47,2.39,8.25
2011-04-30,0.09,4.94,4.52,2.49,2.37,8.25
2011-05-01,0.09,4.93,4.48,2.48,2.4,8.25
2011-05-02,0.09,4.93,4.5,2.51,2.41,8.25
2011-05-03,0.09,4.92,4.5,2.52,2.38,8.25
2011-05-04,0.09,4.91,4.53,2.53,2.39,8.25
2011-05-05,0.09,4.9,4.54,2.51,2.37,8.25
2011-05-06,0.09,4.91,4.54,2.5,2.38,8.25
2011-05-07,0.09,4.91,4.56,2.47,2.37,8.25
2011-05-08,0.09,4.92,4.55,2.49,2.37,8.25
2011-05-09,0.09,4.9,4.57,2.51,2.41,8.25
2011-05-10,0.09,4.91,4.67,2.55,2.43,8.25
2011-05-11,0.09,4.89,4.66,2.52,2.44,8.25
2011-05-12,0.09,4.89,4.63,2.51,2.41,8.25
2011-05-13,0.09,4.9,4.66,2.52,2.4,8.25
2011-05-14,0.09,4.89,4.66,2.52,2.4,8.25
2011-05-15,0.09,4.88,4.68,2.5,2.4,8.25
2011-05-16,0.1,4.88,4.67,2.49,2.39,8.25
2011-05-17,0.09,4.87,4.61,2.44,2.36,8.25
2011-05-18,0.1,4.86,4.56,2.41,2.39,8.25
2011-05-19,0.09,4.85,4.57,2.44,2.38,8.25
2011-05-20,0.1,4.85,4.57,2.44,2.38,8.25
2011-05-21,0.1,4.85,4.55,2.46,2.36,8.25
2011-05-22,0.1,4.84,4.51,2.42,2.42,8.25
2011-05-23,0.1,4.83,4.55,2.45,2.43,8.25
2011-05-24,0.1,4.82,4.59,2.46,2.4,8.25
2011-05-25,0.09,4.81,4.59,2.47,2.45,8.25
2011-05-26,0.09,4.79,4.51,2.45,2.41,8.25
2011-05-27,0.1,4.76,4.54,2.47,2.43,8.25
2011-05-28,0.1,4.77,4.55,2.47,2.39,8.25
2011-05-29,0.1,4.76,4.59,2.45,2.41,8.25
2011-05-30,0.1,4.76,4.55,2.42,2.4,8.25
2011-05-31,0.1,4.77,4.55,2.37,2.37,8.25
2011-06-01,0.1,4.76,4.54,2.38,2.34,8.25
2011-06-02,0.1,4.74,4.58,2.38,2.38,8.25
2011-06-03,0.11,4.73,4.56,2.41,2.35,8.25
2011-06-04,0.11,4.73,4.58,2.38,2.36,8.25
2011-06-05,0.11,4.73,4.61,2.41,2.33,8.25
2011-06-06,0.1,4.7,4.63,2.35,2.33,8.25
2011-06-07,0.09,4.62,4.62,2.34,2.32,8.25
2011-06-08,0.09,4.68,4.68,2.36,2.34,8.25
2011-06-09,0.09,4.7,4.74,2.37,2.33,8.25
2011-06-10,0.09,4.76,4.71,2.35,2.37,8.25
2011-06-11,0.09,4.79,4.76,2.34,2.36,8.25
2011-06-12,0.09,4.77,4.79,2.35,2.37,8.25
2011-06-13,0.1,4.77,4.79,2.36,2.4,8.25
2011-06-14,0.1,4.75,4.8,2.37,2.37,8.25
2011-06-15,0.1,4.76,4.82,2.32,2.36,8.25
2011-06-16,0.1,4.71,4.83,2.33,2.39,8.25
2011-06-17,0.1,4.6,4.86,2.33,2.39,8.25
2011-06-18,0.1,4.66,4.92,2.34,2.42,8.25
2011-06-19,0.1,4.68,4.91,2.36,2.4,8.25
2011-06-20,0.09,4.7,4.96,2.35,2.41,8.25
2011-06-21,0.09,4.67,4.94,2.37,2.41,8.25
2011-06-22,0.09,4.67,5.05,2.38,2.44,8.25
2011-06-23,0.08,4.64,5.06,2.38,2.48,8.25
2011-06-24,0.08,4.6,5.07,2.38,2.46,8.25
2011-06-25,0.08,4.59,5.18,2.39,2.47,8.25
2011-06-26,0.08,4.53,5.13,2.39,2.51,8.25
2011-06-27,0.08,4.52,5.16,2.42,2.5,8.25
2011-06-28,0.08,4.43,5.1,2.42,2.44,8.25
2011-06-29,0.07,4.51,5.07,2.39,2.45,8.25
2011-06-30,0.07,4.52,5,2.38,2.46,8.25
2011-07-01,0.08,4.61,5.05,2.37,2.45,8.25
2011-07-02,0.08,4.57,5.06,2.37,2.47,8.25
2011-07-03,0.08,4.59,5.02,2.39,2.49,8.25
2011-07-04,0.08,4.69,4.97,2.37,2.47,8.25
2011-07-05,0.08,4.69,4.99,2.35,2.45,8.25
2011-07-06,0.07,4.64,4.97,2.33,2.45,8.25
2011-07-07,0.07,4.64,5.02,2.36,2.42,8.25
2011-07-08,0.07,4.68,4.92,2.33,2.43,8.25
2011-07-09,0.07,4.81,4.9,2.34,2.44,8.25
2011-07-10,0.07,4.81,4.95,2.34,2.4,8.25
2011-07-11,0.07,4.81,5.05,2.36,2.44,8.25
2011-07-12,0.06,4.81,5.1,2.38,2.42,8.25
2011-07-13,0.06,4.83,5.07,2.39,2.43,8.25
2011-07-14,0.06,4.81,4.93,2.36,2.42,8.25
2011-07-15,0.06,4.81,4.98,2.35,2.41,8.25
2011-07-16,0.06,4.83,5.03,2.36,2.42,8.25
2011-07-17,0.06,4.83,5.01,2.34,2.42,8.25
2011-07-18,0.06,4.84,4.95,2.29,2.43,8.25
2011-07-19,0.06,4.82,4.98,2.27,2.43,8.25
2011-07-20,0.06,4.82,4.91,2.3,2.46,8.25
2011-07-21,0.06,4.84,4.94,2.31,2.47,8.25
2011-07-22,0.06,4.83,4.85,2.28,2.44,8.25
2011-07-23,0.06,4.88,4.86,2.24,2.44,8.25
2011-07-24,0.06,4.88,4.82,2.24,2.48,8.25
2011-07-25,0.06,4.85,4.8,2.25,2.47,8.25
2011-07-26,0.06,4.78,4.61,2.18,2.46,8.25
2011-07-27,0.07,4.72,4.6,2.15,2.49,8.25
2011-07-28,0.08,4.82,4.64,2.17,2.49,8.25
2011-07-29,0.11,4.82,4.6,2.17,2.51,8.25
2011-07-30,0.11,4.75,4.6,2.17,2.47,8.25
2011-07-31,0.11,4.75,4.62,2.15,2.47,8.25
2011-08-01,0.17,4.72,4.52,2.11,2.43,8.25
2011-08-02,0.16,4.74,4.52,2.08,2.44,8.25
2011-08-03,0.12,4.8,4.6,2.09,2.43,8.25
2011-08-04,0.09,4.81,4.69,2.11,2.41,8.25
2011-08-05,0.08,4.67,4.58,2.08,2.42,8.25
2011-08-06,0.08,4.44,4.59,2.07,2.43,8.25
2011-08-07,0.08,4.61,4.57,2.07,2.45,8.25
2011-08-08,0.11,4.51,4.51,2.07,2.41,8.25
2011-08-09,0.1,4.1,4.41,2.04,2.42,8.25
2011-08-10,0.1,3.69,4.26,1.99,2.43,8.25
2011-08-11,0.09,3.65,4.35,2.03,2.43,8.25
2011-08-12,0.1,3.08,4.32,1.99,2.41,8.25
2011-08-13,0.1,3.51,4.27,1.99,2.45,7.75
2011-08-14,0.1,3.58,4.34,2.01,2.41,7.75
2011-08-15,0.1,3.79,4.36,2.03,2.43,7.75
2011-08-16,0.09,4.13,4.42,2.03,2.43,7.75
2011-08-17,0.09,4.5,4.39,2.03,2.41,7.75
2011-08-18,0.09,4.28,4.25,1.96,2.44,7.75
2011-08-19,0.09,3.88,4.31,1.99,2.39,7.75
2011-08-20,0.09,3.74,4.21,1.95,2.43,7.75
2011-08-21,0.09,3.91,4.25,1.97,2.43,7.75
2011-08-22,0.09,4.35,4.26,1.97,2.43,7.75
2011-08-23,0.08,4.24,4.16,1.97,2.41,7.75
2011-08-24,0.08,4.18,4.2,1.97,2.41,7.75
2011-08-25,0.08,3.96,4.03,1.96,2.42,7.75
2011-08-26,0.09,3.86,4,1.98,2.42,7.75
2011-08-27,0.09,4,4.07,2.01,2.41,7.75
2011-08-28,0.09,3.93,4.11,2.04,2.42,7.75
2011-08-29,0.09,3.97,4.22,2.07,2.43,7.75
2011-08-30,0.08,3.9,4.18,2.07,2.47,7.75
2011-08-31,0.08,4.05,4.21,2.08,2.46,7.75
2011-09-01,0.08,3.91,4.19,2.1,2.52,7.75
2011-09-02,0.08,3.83,4.2,2.12,2.52,7.75
2011-09-03,0.08,3.69,4.35,2.13,2.57,7.75
2011-09-04,0.08,3.64,4.31,2.13,2.53,7.75
2011-09-05,0.08,3.76,4.31,2.1,2.5,7.75
2011-09-06,0.09,3.7,4.26,2.07,2.51,7.75
2011-09-07,0.09,3.64,4.27,2.08,2.5,7.75
2011-09-08,0.09,3.62,4.22,2.11,2.51,7.75
2011-09-09,0.09,3.72,4.23,2.11,2.53,7.75
2011-09-10,0.09,3.83,4.24,2.13,2.47,7.75
2011-09-11,0.09,3.86,4.2,2.12,2.5,7.75
2011-09-12,0.09,3.86,4.24,2.13,2.47,7.5
2011-09-13,0.09,3.85,4.22,2.13,2.47,7.5
2011-09-14,0.08,3.89,4.33,2.14,2.48,7.5
2011-09-15,0.09,3.96,4.38,2.18,2.48,7.5
2011-09-16,0.09,3.95,4.37,2.18,2.46,7.5
2011-09-17,0.09,4.01,4.36,2.19,2.49,7.5
2011-09-18,0.09,4.09,4.42,2.2,2.48,7.5
2011-09-19,0.09,4.19,4.4,2.22,2.48,7.5
2011-09-20,0.09,4.14,4.34,2.23,2.47,7.5
2011-09-21,0.08,3.91,4.22,2.21,2.49,7.5
2011-09-22,0.08,3.66,4.17,2.21,2.43,7.5
2011-09-23,0.08,3.75,4.03,2.19,2.45,7.5
2011-09-24,0.08,3.9,4.08,2.2,2.42,7.5
2011-09-25,0.08,3.88,4.06,2.17,2.43,7.5
2011-09-26,0.08,3.75,3.99,2.16,2.42,7.5
2011-09-27,0.08,3.84,4.01,2.22,2.44,7.5
2011-09-28,0.08,3.86,4.04,2.24,2.48,7.5
2011-09-29,0.08,3.91,4.04,2.25,2.45,7.5
2011-09-30,0.06,3.86,4.06,2.25,2.43,7.5
2011-10-01,0.06,3.84,4.16,2.26,2.42,7.5
2011-10-02,0.06,3.71,4.02,2.28,2.44,7.5
2011-10-03,0.08,3.52,3.93,2.31,2.47,7.5
2011-10-04,0.07,3.62,3.96,2.35,2.47,7.5
2011-10-05,0.07,3.66,3.99,2.4,2.5,7.5
2011-10-06,0.07,3.4,3.92,2.38,2.48,7.5
2011-10-07,0.07,3.3,3.81,2.34,2.46,7.5
2011-10-08,0.07,3.19,3.77,2.37,2.45,7.5
2011-10-09,0.07,3.41,3.84,2.38,2.42,7.25
2011-10-10,0.07,3.33,3.86,2.36,2.44,7.25
2011-10-11,0.07,3.22,3.71,2.32,2.4,7.25
2011-10-12,0.07,3.32,3.68,2.31,2.39,7.25
2011-10-13,0.07,3.32,3.57,2.31,2.43,7.25
2011-10-14,0.07,3.17,3.52,2.32,2.44,7.25
2011-10-15,0.07,3.02,3.4,2.29,2.47,7.25
2011-10-16,0.07,3.15,3.42,2.28,2.48,7.25
2011-10-17,0.07,3.06,3.23,2.27,2.49,7.25
2011-10-18,0.07,3.08,3.38,2.27,2.47,7.25
2011-10-19,0.07,2.98,3.5,2.25,2.39,7.25
2011-10-20,0.07,2.92,3.42,2.26,2.4,7.25
2011-10-21,0.07,3.08,3.41,2.24,2.44,7.25
2011-10-22,0.07,2.99,3.28,2.2,2.44,7.25
2011-10-23,0.07,3,3.28,2.17,2.43,7.25
2011-10-24,0.07,3,3.28,2.13,2.39,7.25
2011-10-25,0.07,3.02,3.39,2.14,2.36,7.25
2011-10-26,0.08,3.04,3.51,2.14,2.38,7.25
2011-10-27,0.07,2.98,3.54,2.14,2.38,7.25
2011-10-28,0.07,2.87,3.32,2.1,2.4,7.25
2011-10-29,0.07,2.81,3.41,2.15,2.39,7.25
2011-10-30,0.07,2.8,3.54,2.19,2.43,7.25
2011-10-31,0.09,2.81,3.63,2.24,2.44,7.25
2011-11-01,0.08,3.01,3.57,2.25,2.43,7.25
2011-11-02,0.08,2.98,3.53,2.26,2.42,7.25
2011-11-03,0.09,2.85,3.46,2.25,2.41,7.25
2011-11-04,0.08,2.85,3.45,2.23,2.37,7.25
2011-11-05,0.08,2.92,3.58,2.26,2.42,6.5
2011-11-06,0.08,3.26,3.65,2.28,2.42,6.5
2011-11-07,0.08,3.24,3.72,2.29,2.41,6.5
2011-11-08,0.08,3.09,3.64,2.33,2.39,6.5
2011-11-09,0.08,3.1,3.52,2.29,2.37,6.5
2011-11-10,0.08,3.29,3.45,2.27,2.35,6.5
2011-11-11,0.08,3.18,3.28,2.28,2.36,6
2011-11-12,0.08,3.16,3.26,2.28,2.38,6
2011-11-13,0.08,3.12,3.18,2.25,2.39,6
2011-11-14,0.08,3.19,3.16,2.22,2.36,6
2011-11-15,0.09,3.17,3.16,2.21,2.37,6
2011-11-16,0.08,3.14,3.1,2.16,2.36,6
2011-11-17,0.08,3.16,3.16,2.12,2.34,6
2011-11-18,0.08,3.02,3.06,2.15,2.37,6
2011-11-19,0.08,3.11,3.08,2.19,2.37,6
2011-11-20,0.08,3.09,3,2.16,2.38,6
2011-11-21,0.08,3.06,3,2.11,2.37,6
2011-11-22,0.08,3,2.9,2.06,2.4,6
2011-11-23,0.09,2.79,2.86,2.04,2.44,6
2011-11-24,0.09,2.3,2.64,1.97,2.51,6
2011-11-25,0.07,2.16,2.64,1.92,2.48,6
2011-11-26,0.07,2.32,2.85,1.99,2.49,6
2011-11-27,0.07,2.25,2.81,2.05,2.49,6
2011-11-28,0.08,2.29,2.8,2.05,2.51,6
2011-11-29,0.08,2.23,2.87,2.1,2.54,6
2011-11-30,0.1,2.16,2.96,2.12,2.54,6
2011-12-01,0.08,1.92,2.82,2.15,2.53,6
2011-12-02,0.08,2.06,2.75,2.09,2.53,6
2011-12-03,0.08,2.22,2.78,2.04,2.56,6
2011-12-04,0.08,2.14,2.66,1.98,2.56,6
2011-12-05,0.08,2.05,2.67,1.96,2.54,6
2011-12-06,0.08,2.12,2.79,1.99,2.55,6
2011-12-07,0.08,2.18,2.69,2.02,2.54,6
2011-12-08,0.07,2.25,2.67,2.05,2.55,6
2011-12-09,0.07,2.25,2.71,2.06,2.54,6
2011-12-10,0.07,2.22,2.71,2.03,2.53,6
2011-12-11,0.07,2.26,2.81,2.03,2.53,6
2011-12-12,0.07,2.16,2.76,2.08,2.48,6
2011-12-13,0.07,2.23,2.93,2.15,2.51,6
2011-12-14,0.07,2.2,3.02,2.25,2.51,5.25
2011-12-15,0.07,2.15,2.8,2.17,2.51,5.25
2011-12-16,0.07,2.15,2.81,2.17,2.53,5.25
2011-12-17,0.07,2.15,2.98,2.27,2.49,5.25
2011-12-18,0.07,2.09,2.92,2.32,2.56,5.25
2011-12-19,0.07,1.94,2.89,2.32,2.54,5.25
2011-12-20,0.07,1.86,2.73,2.34,2.56,5.25
2011-12-21,0.07,1.81,2.5,2.3,2.56,5.25
2011-12-22,0.07,1.67,2.48,2.29,2.63,5.25
2011-12-23,0.08,1.63,2.53,2.33,2.63,5.25
2011-12-24,0.08,1.5,2.59,2.36,2.72,5.25
2011-12-25,0.08,1.37,2.5,2.37,2.73,5.25
2011-12-26,0.08,1.42,2.45,2.37,2.73,5.25
2011-12-27,0.07,1.33,2.37,2.36,2.76,5.25
2011-12-28,0.07,1.45,2.61,2.41,2.69,5.25
2011-12-29,0.07,1.45,2.49,2.37,2.71,5.25
2011-12-30,0.04,1.33,2.53,2.38,2.64,5.25
2011-12-31,0.04,1.16,2.37,2.25,2.61,5.25
2012-01-01,0.04,1.09,2.23,2.1,2.48,5.25
2012-01-02,0.04,0.91,2.42,2.21,2.59,5.25
2012-01-03,0.07,0.6,2.36,2.14,2.54,5.25
2012-01-04,0.07,0.62,2.36,2.14,2.5,5.25
2012-01-05,0.07,1.23,2.64,2.17,2.47,5.25
2012-01-06,0.07,1.27,2.61,2.13,2.39,5.25
2012-01-07,0.07,1.27,2.55,2.13,2.41,5.25
2012-01-08,0.07,1.28,2.61,2.21,2.45,5.25
2012-01-09,0.08,1.31,2.51,2.21,2.47,5.25
2012-01-10,0.08,1.36,2.46,2.19,2.49,5.25
2012-01-11,0.08,1.38,2.65,2.21,2.49,5.25
2012-01-12,0.08,1.39,2.72,2.21,2.47,5.25
2012-01-13,0.09,1.38,2.75,2.21,2.45,5.25
2012-01-14,0.09,1.33,2.63,2.18,2.46,5
2012-01-15,0.09,1.43,2.75,2.23,2.45,5
2012-01-16,0.09,1.39,2.72,2.19,2.45,5
2012-01-17,0.09,1.29,2.59,2.17,2.43,5
2012-01-18,0.09,1.25,2.66,2.19,2.39,5
2012-01-19,0.1,1.17,2.57,2.17,2.43,5
2012-01-20,0.09,1.07,2.6,2.17,2.43,5
2012-01-21,0.09,1.09,2.68,2.2,2.44,5
2012-01-22,0.09,1.11,2.82,2.22,2.4,5
2012-01-23,0.09,1.21,2.9,2.22,2.4,5
2012-01-24,0.09,1.32,2.95,2.24,2.4,5
2012-01-25,0.08,1.33,2.95,2.25,2.37,5
2012-01-26,0.08,1.26,2.96,2.24,2.38,5
2012-01-27,0.09,1.24,2.98,2.25,2.41,5
2012-01-28,0.09,1.24,3.15,2.26,2.36,5
2012-01-29,0.09,1.31,3.2,2.31,2.31,5
2012-01-30,0.09,1.42,3.14,2.3,2.3,5
2012-01-31,0.11,1.44,3.11,2.29,2.29,5
2012-02-01,0.11,1.41,3.03,2.26,2.28,5
2012-02-02,0.11,1.42,3.06,2.27,2.25,5
2012-02-03,0.11,1.47,3.18,2.32,2.4,5
2012-02-04,0.11,1.51,3.14,2.29,2.41,5
2012-02-05,0.11,1.6,3.15,2.31,2.45,5
2012-02-06,0.11,1.64,3.09,2.29,2.43,5
2012-02-07,0.11,1.63,2.99,2.3,2.42,5
2012-02-08,0.11,1.66,2.98,2.32,2.44,5
2012-02-09,0.11,1.74,3,2.3,2.44,5
2012-02-10,0.12,1.8,3.17,2.32,2.46,5
2012-02-11,0.12,1.79,3.22,2.36,2.5,5
2012-02-12,0.12,1.8,3.1,2.35,2.51,5
2012-02-13,0.12,1.81,3.12,2.37,2.51,5
2012-02-14,0.12,1.79,3.09,2.4,2.54,5
2012-02-15,0.12,1.83,3.02,2.42,2.52,5
2012-02-16,0.11,1.83,3.09,2.47,2.55,5
2012-02-17,0.09,1.83,3.24,2.47,2.55,5
2012-02-18,0.09,1.82,3.15,2.42,2.56,5
2012-02-19,0.09,1.86,3.25,2.4,2.54,5
2012-02-20,0.09,1.86,3.36,2.39,2.51,5
2012-02-21,0.1,1.87,3.41,2.4,2.52,5
2012-02-22,0.08,1.85,3.41,2.4,2.56,5
2012-02-23,0.08,1.82,3.28,2.4,2.54,5
2012-02-24,0.09,1.82,3.21,2.36,2.46,5
2012-02-25,0.09,1.81,3.26,2.32,2.46,5
2012-02-26,0.09,1.82,3.34,2.37,2.49,5
2012-02-27,0.1,1.81,3.2,2.45,2.49,5
2012-02-28,0.1,1.86,3.41,2.48,2.48,5
2012-02-29,0.1,1.98,3.54,2.48,2.5,5
2012-03-01,0.11,1.92,3.49,2.51,2.45,5
2012-03-02,0.11,1.96,3.68,2.54,2.46,5
2012-03-03,0.11,1.95,3.73,2.56,2.44,5
2012-03-04,0.11,2.04,3.73,2.58,2.4,5
2012-03-05,0.11,1.96,3.66,2.55,2.41,5
2012-03-06,0.11,1.89,3.57,2.57,2.39,5
2012-03-07,0.11,1.87,3.67,2.55,2.39,5
2012-03-08,0.11,1.83,3.57,2.53,2.35,5
2012-03-09,0.12,1.85,3.65,2.56,2.32,5
2012-03-10,0.12,1.8,3.52,2.57,2.35,5
2012-03-11,0.12,1.78,3.54,2.57,2.37,5
2012-03-12,0.12,1.7,3.44,2.64,2.4,5
2012-03-13,0.12,1.64,3.36,2.62,2.4,5
2012-03-14,0.13,1.87,3.34,2.63,2.39,5
2012-03-15,0.14,1.84,3.33,2.66,2.38,5
2012-03-16,0.15,1.79,3.31,2.7,2.42,5
2012-03-17,0.15,1.81,3.28,2.72,2.42,5
2012-03-18,0.15,1.84,3.23,2.63,2.41,5
2012-03-19,0.15,1.83,3.19,2.52,2.4,5
2012-03-20,0.15,1.79,3.11,2.54,2.38,5
2012-03-21,0.15,1.64,3.1,2.57,2.29,5
2012-03-22,0.14,1.58,3.27,2.6,2.36,5
2012-03-23,0.14,1.5,3.2,2.58,2.36,5
2012-03-24,0.14,1.37,3.12,2.55,2.39,5
2012-03-25,0.14,1.35,3.2,2.56,2.42,5
2012-03-26,0.14,1.4,3.35,2.54,2.4,5
2012-03-27,0.14,1.45,3.42,2.5,2.42,5
2012-03-28,0.13,1.46,3.41,2.47,2.39,5
2012-03-29,0.13,1.52,3.48,2.42,2.44,5
2012-03-30,0.09,1.56,3.51,2.29,2.43,5
2012-03-31,0.09,1.62,3.37,2.28,2.4,5
2012-04-01,0.09,1.71,3.45,2.24,2.44,5
2012-04-02,0.15,1.7,3.34,2.25,2.47,5
2012-04-03,0.15,1.69,3.39,2.18,2.48,5
2012-04-04,0.15,1.67,3.36,2.22,2.5,5
2012-04-05,0.15,1.65,3.25,2.16,2.52,5
2012-04-06,0.12,1.63,3.23,2.17,2.51,5
2012-04-07,0.12,1.72,3.23,2.14,2.54,5
2012-04-08,0.12,1.72,3.28,2.1,2.5,5
2012-04-09,0.16,1.61,3.3,2.08,2.46,5
2012-04-10,0.15,1.63,3.16,2.09,2.39,5
2012-04-11,0.16,1.67,3.21,2.04,2.4,5
2012-04-12,0.15,1.84,3.27,2.01,2.37,5
2012-04-13,0.15,1.83,3.16,1.99,2.39,5
2012-04-14,0.15,1.82,3.21,2.01,2.37,5
2012-04-15,0.15,1.85,3.15,2.02,2.42,5
2012-04-16,0.15,1.81,3.11,1.95,2.41,5
2012-04-17,0.16,1.79,3.07,1.92,2.38,5
2012-04-18,0.15,1.77,3.07,1.92,2.38,5
2012-04-19,0.13,1.68,3,1.94,2.44,5
2012-04-20,0.12,1.69,3.08,2.02,2.44,5
2012-04-21,0.12,1.67,3.14,1.94,2.42,5
2012-04-22,0.12,1.71,3.04,1.88,2.42,5
2012-04-23,0.13,1.68,3.06,1.9,2.42,5
2012-04-24,0.14,1.64,3.02,1.92,2.46,5
2012-04-25,0.15,1.71,3.09,1.94,2.4,5
2012-04-26,0.14,1.69,3.1,1.89,2.41,5
2012-04-27,0.13,1.69,3,1.72,2.38,5
2012-04-28,0.13,1.67,2.95,1.66,2.34,5
2012-04-29,0.13,1.66,2.87,1.59,2.29,5
2012-04-30,0.16,1.65,2.91,1.6,2.3,5
2012-05-01,0.16,1.69,2.96,1.62,2.34,5
2012-05-02,0.15,1.63,2.9,1.52,2.34,5
2012-05-03,0.15,1.62,2.91,1.52,2.38,5
2012-05-04,0.16,1.58,2.87,1.51,2.43,5
2012-05-05,0.16,1.46,2.97,1.5,2.4,4.5
2012-05-06,0.16,1.03,2.59,1.23,2.31,4.5
2012-05-07,0.16,0.84,2.64,1.03,2.23,4.5
2012-05-08,0.16,0.03,2.52,1.04,2.16,4.5
2012-05-09,0.15,0.23,2.67,1.02,2.18,4.5
2012-05-10,0.15,0.97,3.01,1.37,2.49,4.5
2012-05-11,0.15,1.29,3.04,1.44,2.52,4.5
2012-05-12,0.15,0.81,3.03,1.25,2.47,4.5
2012-05-13,0.15,0.5,2.91,1.09,2.41,4.5
2012-05-14,0.16,0.75,3.09,1.18,2.4,4.5
2012-05-15,0.16,0.86,3.05,1.15,2.35,4.5
2012-05-16,0.16,0.96,2.7,0.94,2.22,4.5
2012-05-17,0.16,0.9,2.98,0.97,2.23,4.5
2012-05-18,0.16,0.84,2.87,0.95,2.07,4.5
2012-05-19,0.16,0.62,2.68,0.93,2.05,4
2012-05-20,0.16,0.5,2.64,0.96,1.94,4
2012-05-21,0.16,0.54,2.45,0.75,1.79,4
2012-05-22,0.16,0.81,2.45,0.62,1.74,4
2012-05-23,0.15,0.67,2.7,0.43,1.63,4
2012-05-24,0.15,0.58,2.79,0.47,1.63,4
2012-05-25,0.15,0.24,2.77,0.2,1.65,4
2012-05-26,0.15,0.34,3.01,0.24,1.83,4
2012-05-27,0.15,0.22,2.9,0.14,1.91,4
2012-05-28,0.15,0.45,2.84,-0.04,1.99,4
2012-05-29,0.16,0.8,2.83,0.04,2.19,4
2012-05-30,0.16,1.24,2.82,0.09,2.22,4
2012-05-31,0.16,1.09,2.63,-0.12,2.4,4
2012-06-01,0.16,1.03,2.56,-0.24,2.38,4
2012-06-02,0.16,0.96,2.57,-0.39,2.33,4
2012-06-03,0.16,0.86,2.64,-0.8,2.3,4
2012-06-04,0.17,0.84,2.67,-1.07,2.64,4
2012-06-05,0.17,0.76,2.75,-1.04,2.74,4
2012-06-06,0.16,0.61,2.77,-0.96,2.75,4
2012-06-07,0.16,0.4,2.84,-0.81,2.72,4
2012-06-08,0.17,0.44,2.8,-0.96,2.73,4
2012-06-09,0.17,0.49,2.71,-0.95,2.72,4
2012-06-10,0.17,0.48,2.56,-0.89,2.78,4
2012-06-11,0.17,0.39,2.5,-0.9,2.88,4
2012-06-12,0.16,0.31,2.46,-1.02,2.94,4
2012-06-13,0.17,0.3,2.56,-1,2.98,4
2012-06-14,0.17,0.29,2.51,-1.01,3.01,4
2012-06-15,0.18,0.18,2.37,-1.09,3.05,4
2012-06-16,0.18,0.21,2.43,-1.07,2.89,4
2012-06-17,0.18,0.14,2.33,-1.1,2.84,4
2012-06-18,0.17,0.12,2.32,-1.12,2.82,4
2012-06-19,0.17,0.12,2.22,-1.29,2.55,4
2012-06-20,0.16,0.07,2.08,-1.53,2.37,4
2012-06-21,0.17,0.03,1.94,-1.79,1.9,3.25
2012-06-22,0.17,0.02,2.02,-1.94,2.08,3.25
2012-06-23,0.17,0.13,2.24,-1.95,2.48,3.25
2012-06-24,0.17,0.1,2.06,-2.06,2.76,3.25
2012-06-25,0.17,0.05,2.01,-2.23,2.92,3.25
2012-06-26,0.16,0.01,1.93,-2.24,2.97,3.25
2012-06-27,0.15,0.07,1.71,-0.32,1,3.25
2012-06-28,0.15,0.06,1.65,-0.08,0.92,3.25
2012-06-29,0.09,0.02,1.6,0.03,1.03,3.25
2012-06-30,0.09,0.02,1.51,0.04,1.1,3.25
2012-07-01,0.09,0.02,1.67,-0.12,1,3.25
2012-07-02,0.18,0.03,1.76,-0.28,0.88,3.25
2012-07-03,0.17,0.03,1.61,-0.33,0.85,3.25
2012-07-04,0.17,0,1.62,-0.36,0.86,3.25
2012-07-05,0.17,0.01,1.55,-0.35,0.93,3.25
2012-07-06,0.17,0.02,1.55,-0.38,0.72,3.25
2012-07-07,0.17,0.04,1.5,-0.59,0.79,3.25
2012-07-08,0.17,0.04,1.34,-0.3,0.62,3.25
2012-07-09,0.17,0.05,1.35,0.09,0.59,3.25
2012-07-10,0.17,0,1.26,-0.11,0.57,3.25
2012-07-11,0.17,0.02,1.35,-0.31,0.61,3.25
2012-07-12,0.18,0.01,1.4,-0.37,0.67,3.25
2012-07-13,0.19,0.02,1.53,-0.27,0.57,3.25
2012-07-14,0.19,0,1.54,-0.27,0.53,3.25
2012-07-15,0.19,0.03,1.51,-0.28,0.54,3.25
2012-07-16,0.18,0.06,1.45,-0.21,0.43,3.25
2012-07-17,0.17,0.1,1.47,-0.25,0.43,3.25
2012-07-18,0.16,0.11,1.55,-0.26,0.48,3.25
